self_employed,sought_treatment,employer_benefits,employer_takes_seriously,fear_negative_consequences,work_interference,remote_work,gender,age,country,year,productivity_affected,has_mental_health_disorder,tech_role
No,No,Yes,Yes,No,,No,Male,28.0,United States,2014,,,
No,Yes,Yes,Yes,No,Rarely,Yes,Male,31.0,United States,2014,,,
No,No,Don't Know,Don't Know,Maybe,,No,Male,27.0,United Kingdom,2014,,,
No,No,Don't Know,Don't Know,No,Sometimes,No,Male,24.0,United States,2014,,,
No,No,No,Don't Know,Yes,Often,No,Male,29.0,Canada,2014,,,
No,Yes,Don't Know,Yes,Maybe,Sometimes,No,Female,23.0,United Kingdom,2014,,,
No,No,No,Yes,No,Never,Yes,Male,42.0,United States,2014,,,
No,No,No,No,Yes,,No,Male,24.0,United Kingdom,2014,,,
No,Yes,No,No,Yes,Often,No,Male,25.0,Australia,2014,,,
No,Yes,Yes,Don't Know,Maybe,Rarely,No,Female,27.0,United States,2014,,,
No,No,No,No,Yes,Sometimes,Yes,Male,27.0,Canada,2014,,,
No,Yes,Yes,Yes,No,Sometimes,Yes,Male,30.0,United States,2014,,,
No,Yes,No,No,Maybe,Rarely,No,Male,29.0,Poland,2014,,,
Yes,No,No,Don't Know,Maybe,,Yes,Male,43.0,Canada,2014,,,
No,No,No,Don't Know,No,,No,Male,32.0,United States,2014,,,
No,Yes,Yes,Yes,No,Sometimes,Yes,Male,41.0,United States,2014,,,
Yes,Yes,Don't Know,Don't Know,Maybe,Sometimes,Yes,Male,32.0,United Kingdom,2014,,,
No,Yes,Yes,Don't Know,Maybe,Often,No,Female,37.0,United States,2014,,,
No,No,No,Don't Know,No,Never,Yes,Male,32.0,United States,2014,,,
Yes,No,No,No,No,Sometimes,Yes,Male,30.0,Ireland,2014,,,
No,Yes,Yes,Yes,No,Never,No,Female,23.0,United States,2014,,,
No,No,Yes,Yes,No,,No,Male,30.0,United States,2014,,,
No,No,No,Don't Know,Maybe,Sometimes,No,Male,34.0,United Kingdom,2014,,,
No,Yes,Yes,No,Yes,Rarely,Yes,Male,38.0,United States,2014,,,
No,No,Yes,Don't Know,No,,No,Male,33.0,Canada,2014,,,
